,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
37472,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Discus Throw,Bronze
37474,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,Gold
37475,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,Gold
37476,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,Gold
37477,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around,Gold
37478,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,Gold
37479,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,Gold
37480,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,Gold
37484,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Balance Beam,Silver
37493,Latvia,LAT,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Lightweight,Bronze
37495,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
37496,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
37497,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
37517,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 50 kilometres Walk,Gold
37518,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Middleweight,Gold
37525,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Single Sculls,Gold
37526,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Single Sculls,Gold
37527,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Single Sculls,Gold
37528,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Shot Put,Bronze
37529,Belarus,BLR,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
37530,Soviet Union,URS,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
37531,Soviet Union,URS,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
37533,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Silver
37536,Russia,RUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Individual Time Trial,Gold
37537,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Individual Time Trial,Gold
37539,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,Gold
37550,Poland,POL,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
37551,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Shot Put,Gold
37552,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Pole Vault,Gold
37553,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",Bronze
37554,Poland,POL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
37560,Germany,GER,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Flyweight,Silver
37561,Poland,POL,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,Gold
37562,Poland,POL,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Middleweight,Gold
37563,Poland,POL,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight I,Bronze
37564,Poland,POL,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Lightweight,Gold
37565,Poland,POL,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Lightweight,Gold
37581,"BLO Polo Club, Rugby",USA,1900 Summer,1900,Summer,Paris,Polo,Polo Men's Polo,Silver
37588,Germany,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 200 metres Breaststroke,Gold
37589,Germany,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Breaststroke,Gold
37590,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,Bronze
37591,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres,Gold
37592,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,Gold
37593,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,Silver
37594,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,Silver
37596,Germany,GER,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 100 Yard Backstroke,Gold
37597,Germany,GER,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 440 Yard Breaststroke,Silver
37603,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,Bronze
37604,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,Bronze
37611,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's High Jump,Gold
37612,Germany,GER,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Gold
37613,Germany,GER,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Silver
37618,Belgium,BEL,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",Bronze
37620,Canada,CAN,1908 Summer,1908,Summer,London,Shooting,Shooting Men's Trap,Gold
37635,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Javelin Throw,Silver
37638,United States,USA,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 100 metres Backstroke,Silver
37641,Switzerland,SUI,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Silver
37643,Switzerland,SUI,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
37649,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Golf,Golf Men's Individual,Silver
37662,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,Silver
37672,Austria,AUT,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
37675,United States,USA,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
37677,Switzerland,SUI,1972 Winter,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Silver
37678,United States,USA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
37680,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,Bronze
37682,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 200 metres,Silver
37683,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,Silver
37684,United States,USA,1948 Summer,1948,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
37685,Great Britain,GBR,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Silver
37688,South Africa,RSA,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Bronze
37690,United States,USA,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Running Target, Double Shot",Gold
37691,United States,USA,1912 Summer,1912,Summer,Stockholm,Art Competitions,Art Competitions Mixed Sculpturing,Gold
37692,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Running Target, Single Shot, Team",Silver
37694,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",Bronze
37695,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Double Trap,Gold
37697,Austria,AUT,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Downhill,Bronze
37698,Austria,AUT,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Downhill,Bronze
37701,United States,USA,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
37703,Thailand,THA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Lightweight,Bronze
37704,China,CHN,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Women's 500 metres,Bronze
37707,China,CHN,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
37708,China,CHN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Bronze
37713,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Lightweight,Silver
37719,China,CHN,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,Silver
37720,China,CHN,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,Silver
37721,China,CHN,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Men's Singles,Silver
37724,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Archery,Archery Women's Individual,Silver
37725,China,CHN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Individual",Silver
37726,China,CHN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Gold
37731,China,CHN,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Women's 5,000 metres",Gold
37732,China,CHN,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Women's 10,000 metres",Silver
37734,China,CHN,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's epee, Individual",Silver
37739,China,CHN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 20 kilometres Walk,Gold
37741,China,CHN,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,Bronze
37742,China,CHN,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,Bronze
37744,China,CHN,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Doubles,Gold
37745,China,CHN,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's 500 metres,Silver
37746,China,CHN,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",Bronze
37747,China,CHN,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Gold
37748,China,CHN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Gold
37749,China,CHN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Gold
37751,China,CHN,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Silver
37752,China,CHN,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Flyweight,Gold
37755,China,CHN,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Women's Singles,Gold
37758,China,CHN,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Women's Doubles,Gold
37759,China,CHN,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Women's Singles,Silver
37760,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
37762,China,CHN,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Men's Singles,Silver
37764,China,CHN,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Middleweight,Bronze
37765,China,CHN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Butterfly,Silver
37767,China,CHN,2008 Summer,2008,Summer,Beijing,Diving,Diving Women's Platform,Bronze
37769,China,CHN,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Gold
37771,China,CHN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 10 kilometres Walk,Bronze
37774,China,CHN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
37775,China,CHN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
37776,China,CHN,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
37777,China,CHN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
37778,China,CHN,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
37779,China,CHN,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
37780,China,CHN,2012 Summer,2012,Summer,London,Badminton,Badminton Women's Singles,Silver
37783,China,CHN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,Bronze
37784,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,Gold
37785,China,CHN,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Double Trap,Bronze
37786,China,CHN,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
37789,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,Bronze
37794,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 100 metres Backstroke,Gold
37795,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 100 metres Backstroke,Gold
37798,Australia,AUS,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
37799,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres Hurdles,Gold
37803,Uruguay,URU,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Bantamweight,Bronze
37804,Egypt,EGY,1936 Summer,1936,Summer,Berlin,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
37806,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,Gold
37808,United States,USA,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
37809,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,Silver
37817,Ireland,IRL,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Silver
37821,China,CHN,2004 Summer,2004,Summer,Athina,Shooting,Shooting Women's Skeet,Silver
37822,China,CHN,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Skeet,Silver
37826,China,CHN,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Doubles,Bronze
37834,Trinidad and Tobago,TTO,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,Silver
37838,United States,USA,1988 Summer,1988,Summer,Seoul,Diving,Diving Women's Platform,Bronze
37839,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Butterfly,Bronze
37842,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
37845,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",Silver
37847,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 800 metres Freestyle,Bronze
37852,Switzerland,SUI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Shot Put,Bronze
37854,Rostock,GER,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed One Person Dinghy,Silver
37855,Germany,GER,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Gold
37864,West Germany,FRG,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Freestyle,Bronze
37867,East Germany,GDR,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Bronze
37869,Germany,GER,1952 Summer,1952,Summer,Helsinki,Athletics,"Athletics Men's 1,500 metres",Bronze
37870,Switzerland,SUI,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
37877,Germany,GER,1952 Summer,1952,Summer,Helsinki,Cycling,Cycling Men's Sprint,Bronze
37884,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Bronze
37892,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,Silver
37893,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Backstroke,Silver
37894,Netherlands,NED,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
37897,Poland,POL,1976 Summer,1976,Summer,Montreal,Shooting,Shooting Mixed Skeet,Bronze
37900,Poland,POL,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Middleweight,Silver
37902,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,Bronze
37904,Thailand,THA,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Flyweight,Gold
37905,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
37906,Great Britain,GBR,1908 Summer,1908,Summer,London,Tennis,Tennis Men's Singles,Bronze
37907,United States,USA,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Middleweight,Gold
37908,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 110 metres Hurdles,Bronze
37909,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,Gold
37910,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Shot Put,Gold
37912,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,Gold
37922,Germany,GER,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
37923,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
37924,Germany,GER,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
37925,Germany,GER,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
37926,Germany,GER,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
37934,Germany,GER,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
37939,Germany,GER,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed One Person Dinghy,Gold
37940,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
37946,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Silver
37950,Germany,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 200 metres Breaststroke,Silver
37951,Germany,GER,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Silver
37954,Germany,GER,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Flyweight,Gold
37961,Austria,AUT,1924 Winter,1924,Winter,Chamonix,Figure Skating,Figure Skating Men's Singles,Silver
37962,Austria,AUT,1928 Winter,1928,Winter,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,Silver
37964,Germany,GER,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",Bronze
37965,Germany,GER,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,Silver
37966,Australasia,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Silver
37968,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,Bronze
37980,Netherlands,NED,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Heavyweight,Gold
37981,Netherlands,NED,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Open Class,Gold
37982,Netherlands,NED,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Silver
37987,Netherlands,NED,1948 Summer,1948,Summer,London,Athletics,"Athletics Men's 1,500 metres",Bronze
37988,Netherlands,NED,1948 Summer,1948,Summer,London,Athletics,"Athletics Men's 5,000 metres",Bronze
37999,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,Silver
38004,Liechtenstein,LIE,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,Bronze
38006,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,Gold
38009,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
38010,United States,USA,2010 Winter,2010,Winter,Vancouver,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",Gold
38020,Great Britain,GBR,1908 Summer,1908,Summer,London,Boxing,Boxing Men's Bantamweight,Bronze
38025,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Middleweight,Bronze
38031,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 200 metres Butterfly,Gold
38033,South Africa,RSA,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Bantamweight,Gold
38037,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,Gold
38040,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Gold
38048,Great Britain,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Bronze
38060,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,Gold
38062,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Long Jump,Bronze
38063,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Triple Jump,Silver
38064,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,Silver
38072,United States,USA,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
38075,United States,USA,1964 Summer,1964,Summer,Tokyo,Shooting,Shooting Men's Trap,Bronze
38078,United States,USA,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Silver
38082,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Flyweight,Bronze
38083,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Breaststroke,Gold
38084,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Javelin Throw,Bronze
38092,United States,USA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Downhill,Gold
38093,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Long Jump,Gold
38095,Great Britain,GBR,1908 Summer,1908,Summer,London,Archery,Archery Men's Double York Round,Gold
38099,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Backstroke,Silver
38103,Olle,GBR,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
38114,South Africa,RSA,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Bronze
38115,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Gold
38117,United States,USA,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Single Sculls,Silver
38119,United States,USA,1904 Summer,1904,Summer,St. Louis,Fencing,"Fencing Men's Single Sticks, Individual",Bronze
38120,United States,USA,1904 Summer,1904,Summer,St. Louis,Fencing,"Fencing Men's Sabre, Individual",Silver
38127,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Individual",Silver
38129,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,Gold
38132,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,"Athletics Men's 1,500 metres",Silver
38133,Canada,CAN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 800 metres,Silver
38134,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
38135,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze
38138,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",Bronze
38139,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events",Bronze
38140,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Horse Vault,Bronze
38141,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Side Horse,Bronze
38142,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Rings,Silver
38144,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Single Sculls,Silver
38149,United States,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Marathon,Bronze
38153,Canada,CAN,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Pole Vault,Bronze
38155,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Club Swinging,Bronze
38156,United States,USA,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
38157,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,Gold
38159,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 110 metres Hurdles,Gold
38162,Mexico,USA,1900 Summer,1900,Summer,Paris,Polo,Polo Men's Polo,Bronze
38165,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Shot Put,Gold
38166,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Shot Put,Silver
38168,United States,USA,1904 Summer,1904,Summer,St. Louis,Archery,Archery Men's Double American Round,Bronze
38169,United States,USA,1904 Summer,1904,Summer,St. Louis,Archery,Archery Men's Double York Round,Bronze
