,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
14763,Finland,FIN,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
14764,Finland,FIN,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
14766,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
14767,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 5,000 metres",Gold
14768,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
14771,Sweden,SWE,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Pentathlon (Ancient),Gold
14774,Sweden,SWE,1924 Summer,1924,Summer,Paris,Diving,Diving Women's Plain High,Bronze
14776,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Gold
14777,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Gold
14778,Norway,NOR,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Gold
14788,Turkey,TUR,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Extra-Lightweight,Bronze
14789,North Korea,PRK,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Flyweight,Silver
14790,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Featherweight,Bronze
14791,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Lightweight,Gold
14792,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
14793,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Rings,Gold
